"연번","비상소화장치일련번호","일련번호","X좌표","Y좌표","비상소화장치고유번호","사용구분","삭제여부","업데이트날짜"
"1214","110080718","994","198613.29881652","553005.98792233","1-19","52201","N","20231111120009"
"1215","110080310","1319","207692.25791195","540034.30348014","000002","52201","N","20231113120034"
"1216","110080372","1332","187092.54072822","548521.56663536","30","52201","N","20231103120009"
"1217","110081847","1408","201278.62609468","557972.79221905","415","52201","N","20231112120003"
"1218","110082090","1461","206998.54172816","563552.27542888","2-9","52201","N","20231026120008"
"1219","110082105","1477","194839.73827145","541628.57392384","000151","52201","N","20231027120009"
"1220","110082120","1494","193730.68548731","543802.01948585","000166","52201","N","20231102120007"
"1221","110081825","1508","202991.56621334","562773.07022889","130","52201","N","20231029120041"
"1222","110082419","1525","210278.69845982","548609.37768669","000023","52201","N","20231027120009"
"1223","110082527","1430","208642.98682189","555311.50135467","3-5","52201","N","20231030120051"
"1224","110082541","1446","208183.94884659","554124.78530834","3-22","52201","N","20231119120004"
"1225","110082295","1374","192886.02039054","541975.52706366","000144","52201","N","20231020120003"
"1226","110080738","1232","199140.42668787","552043.64688311","000356","52201","N","20231031120006"
"1227","110080168","1259","194809.26683046","554186.74910162","70","52201","N","20231114120009"
"1228","110082305","0","195405.81550477","544384.79297086","000269","52201","N","20231019120009"
"1229","110080364","1288","186743.83796416","549391.65576422","22","52201","N","20231014120003"
"1230","110080294","1306","207910.53403946","539907.78994775","000008","52201","N","20231113120034"
"1231","110081316","1673","205778.71988685","555613.73267863","024","52201","N","20231111120009"
"1232","110081069","1799","207929.41837367","551979.15263630","000045","52201","N","20231109120021"
"1233","110081591","1838","203159.72331379","555554.98637159","129","52201","N","20231118120007"
"1234","110081756","1686","191782.90571902","551413.56259092","000054","52201","N","20231021120008"
"1235","110080889","1703","201580.54322838","551363.72290657","000136","52201","N","20231025120007"
"1236","110080904","1719","201690.09823801","552642.57182931","6-30","52201","N","20231024120006"
"1237","110081626","1759","211584.42229204","549000.92708595","000015","52201","N","20231112120003"
"1238","110080231","1867","205601.31155171","544626.07455694","000036","52203","N","20231108120004"
"1239","110082396","1536","193136.12933174","541894.92543714","000123","52201","N","20231020120003"
"1240","110081453","1555","200162.33643685","556787.79534697","26","52201","N","20231118120007"
"1241","110081469","1571","200172.01359552","556781.01462102","54","52201","N","20231118120007"
"1242","110080573","1587","199703.97564733","553722.10426958","4-35","52201","N","20231106120008"
"1243","110080584","1601","199680.29045565","554406.82399351","4-33","52201","N","20231106120008"
"1244","110080602","1617","197491.81425581","553008.46727777","2-24","52201","N","20231112120003"
"1245","110081723","1645","196218.86531981","549461.65113237","000020","52201","N","20231030120051"
"1246","110080937","1981","200552.28612201","551728.50975078","000150","52203","N","20231030120051"
"1247","110080950","1997","200870.58683003","551525.11117977","000184","52201","N","20231027120009"
"1248","110080450","2056","197041.42998864","553837.58002922","2-09","52201","N","20231108120004"
"1249","110080465","2073","197553.83433771","557023.45943817","5-28","52201","N","20231029120041"
"1250","110081894","2122","203459.82026624","559683.52539674","102","52201","N","20231109120021"
"1251","110081911","2138","202562.15212959","557167.66352076","315","52201","N","20231015120025"
"1252","110080966","2013","200502.59817225","550549.63756936","000200","52201","N","20231031120006"
"1253","110081964","2080","190430.50835223","542291.59984519","000009","52201","N","20231116120041"
"1254","110081870","2097","201438.85768621","558582.48316229","423","52201","N","20231029120041"
"1255","110084717","0","204984.13962318","555025.82113913","075","52201","N","20231027120009"
"1256","110084718","0","205359.32775602","555079.40094170","076","52201","N","20231027120009"
"1257","110081885","2113","202050.60995407","561629.18238098","57","52201","N","20231112120003"
"1258","110080320","1893","202473.56165336","540771.46771873","000030","52201","N","20231116120041"
"1259","110080339","1912","201040.57956239","545965.48645945","000050","52201","N","20231017120007"
"1260","110080359","1929","201545.32999868","545499.77812794","000070","52201","N","20231102120007"
"1261","110081788","1956","192282.65806340","550381.07057250","000091","52201","N","20231115120002"
"1262","110081257","2340","198275.47503719","550004.92176957","000096","52201","N","20231025120007"
"1263","110081207","2445","198778.25573239","549191.68422875","000027","52201","N","20231027120009"
"1264","110081641","2354","211834.77980160","549291.40121437","000028","52201","N","20231015120025"
"1265","110082485","2376","207193.15725623","557307.36501306","1-7","52201","N","20231027120009"
"1266","110084414","0","199905.97874393","547893.70731322","000140","52201","N","20231029120041"
"1267","110083821","0","194778.17483966","549416.75033664","000047","52201","N","20231119120004"
"1268","110083499","0","195970.88762354","550794.56779732","000110","52201","N","20231116120041"
"1269","110081183","2389","200195.11735909","547777.43486970","000020","52201","N","20231029120041"
"1270","110080373","2407","185463.61968312","549956.67826517","31","52201","N","20231113120034"
"1271","110082000","2301","186102.70833397","543444.07030228","000039","52201","N","20231112120003"
"1272","110080509","2229","196521.41953097","551502.94961632","99","52201","N","20231117120006"
"1273","110081151","753","199011.52265866","549540.07751603","000121","52201","N","20231027120009"
"1274","110081152","754","197549.19158550","549977.99839026","000118","52201","N","20231117120006"
"1275","110081153","755","199895.76752160","547043.03727549","000122","52201","N","20231114120009"
"1276","110081156","757","195860.00136383","548279.38860256","000125","52201","N","20231027120009"
"1277","110081157","758","200137.24343059","548061.71729386","000126","52201","N","20230608120006"
"1278","110081158","759","197768.60786072","548111.15658872","000127","52201","N","20231117120006"
"1279","110081159","760","200194.15224356","547832.00671000","000128","52201","N","20231029120041"
"1280","110081162","763","199403.19155202","546870.53881557","000131","52201","N","20231028120004"
"1281","110081164","765","196014.14491711","548382.43272968","000001","52201","N","20231027120009"
"1282","110081165","766","196885.69214886","550289.71375631","000002","52201","N","20231101120003"
"1283","110081168","767","198918.00446418","548573.03401725","000005","52201","N","20231022120010"
"1284","110081132","768","204219.84469254","549184.22544872","000106","52201","N","20231105120007"
"1285","110081170","770","196242.28352965","548382.65305191","000007","52201","N","20231027120009"
"1286","110081171","771","196931.44162665","550167.87071505","000008","52201","N","20231101120003"
"1287","110081173","772","199637.47559972","546931.82437395","000010","52201","N","20231108120004"
"1288","110081174","773","197003.79628865","550261.86777536","000011","52201","N","20231101120003"
